Genus;specie;Nesting;ITD;Social;Pollen;Tongue;Lecty;Season
Hoplitis;producta;Renter:existingcavitiesaboveground;2,1;Solitary;underside:abdomen;medium;Polylectic;summer
Hoplitis;pilosifrons;Renter:existingcavitiesaboveground;2,1;Solitary;underside:abdomen;medium;Polylectic;summer
Hoplitis;spoliata;Renter:existingcavitiesaboveground;3,15;Solitary;underside:abdomen;medium;Polylectic;summer
Heriades;leavitti;Renter:existingcavitiesaboveground;1,75;Solitary;underside:abdomen;medium;Polylectic;summer
Hoplitis;anthocopoides;Renter:existingcavitiesaboveground;2,65;Solitary;underside:abdomen;medium;Polylectic;summer
Osmia;albiventris;Renter:existingcavitiesaboveground;2,23;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Osmia;atriventris;Renter:existingcavitiesaboveground;2,69;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Osmia;caerulescens;Renter:existingcavitiesaboveground;2,43;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Osmia;tersula;Renter:existingcavitiesaboveground;2,73;Solitary;underside:abdomen;medium;Polylectic;summer
Osmia;lignaria;Renter:existingcavitiesaboveground;4,1;Solitary;underside:abdomen;medium;Polylectic;Spring
Osmia;pumila;Renter:existingcavitiesaboveground;2,36;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Osmia;taurus;Renter:existingcavitiesaboveground;3,47;Solitary;underside:abdomen;medium;Polylectic;Spring
Osmia;conjuncta;Renter:existingcavitiesaboveground;2,6;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Osmia;simillima;Renter:existingcavitiesaboveground;3,39;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Osmia;bucephala;Renter:existingcavitiesaboveground;3,55;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Chelostoma;rapunculi;Renter:existingcavitiesaboveground;2,17;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Chelostoma;philadelphi;Renter:existingcavitiesaboveground;1,47;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Chelostoma;campanularum;Renter:existingcavitiesaboveground;1,03;Solitary;underside:abdomen;medium;Polylectic;Spring:summer
Hylaeus;hyalinatus;Renter:existingcavitiesaboveground;1,71;Solitary;Crop;short;Polylectic;summer
Hylaeus;mesillae;Renter:existingcavitiesaboveground;1,86;Solitary;Crop;short;Polylectic;summer
Hylaeus;affinis;Renter:existingcavitiesaboveground;1,48;Solitary;Crop;short;Polylectic;summer
Hylaeus;modestus;Renter:existingcavitiesaboveground;1,65;Solitary;Crop;short;Polylectic;summer
Hylaeus;annulatus;Renter:existingcavitiesaboveground;1,2;Solitary;Crop;short;Polylectic;summer
Hylaeus;basalis;Renter:existingcavitiesaboveground;2,45;Solitary;Crop;short;Polylectic;summer
Hylaeus;punctatus;Renter:existingcavitiesaboveground;1,23;Solitary;Crop;short;Polylectic;summer
Hylaeus;communis;Renter:existingcavitiesaboveground;1,6;Solitary;Crop;short;Polylectic;summer
Hylaeus;leptocephalus;Renter:existingcavitiesaboveground;1,05;Solitary;Crop;short;Polylectic;summer
Hylaeus;nelumbonis;Renter:existingcavitiesaboveground;1,53;Solitary;Crop;short;Oligolectic;summer
Colletes;simulans;excavator:ground;2,55;Solitary;Leg&body;short;Oligolectic;summer
Colletes;americana;excavator:ground;2,07;Solitary;Leg&body;short;Polylectic;summer
Calliopsis;andreniformis;excavator:ground;1,98;Solitary;Leg&body;medium;Polylectic;summer
