Site;Date;Plant species;Pollinator species;Visits
Gigante;24/10/2012;Diodella sp.;Apis mellifera;1
Gigante;24/10/2012;Coccoloba brasiliensis;Apis mellifera;1
Gigante;24/10/2012;Cyrtocymura scorpioides;Dialictus (Chloralictus) sp. 1;1
Gigante;24/10/2012;Cyrtocymura scorpioides;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Begonia grisea;Bombus pauloensis;1
Gigante;24/10/2012;Begonia grisea;Augochloropsis sp. 1;1
Gigante;24/10/2012;Diodella sp.;Bombus pauloensis;1
Gigante;24/10/2012;Diodella sp.;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Diodella sp.;Nitidulidae sp. 2;1
Gigante;24/10/2012;Begonia grisea;Augochloropsis sp. 1;1
Gigante;24/10/2012;Begonia grisea;Nitidulidae sp. 2;1
Gigante;24/10/2012;Cyrtocymura scorpioides;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Cyrtocymura scorpioides;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Cyrtocymura scorpioides;Megachile sp.;1
Gigante;24/10/2012;Cyrtocymura scorpioides;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Cyrtocymura scorpioides;Dialictus (Chloralictus) sp. 1;1
Gigante;24/10/2012;Cyrtocymura scorpioides;Dialictus (Chloralictus) sp. 1;1
Gigante;24/10/2012;Begonia grisea;Nitidulidae sp. 2;1
Gigante;24/10/2012;Begonia grisea;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Diodella sp.;Ceratina (Crewella) sp. 3;1
Gigante;24/10/2012;Cuphea linarioides;Dialictus (Chloralictus) sp. 1;1
Gigante;24/10/2012;Cuphea linarioides;Centris (Xanthemisia) lutea;1
Gigante;24/10/2012;Tibouchina heteromalla;Melipona sp. 1;1
Gigante;24/10/2012;Diodella sp.;Dialictus (Chloralictus) sp. 1;1
Midway;25/10/2012;Coccoloba brasiliensis;Cephalotes pusillus;3
Midway;25/10/2012;Coccoloba brasiliensis;Camponotus rufipes;4
Midway;25/10/2012;Coccoloba brasiliensis;Apis mellifera;5
Midway;25/10/2012;Coccoloba brasiliensis;Polybia sericea;1
Midway;25/10/2012;Ouratea floribunda;Augochloropsis sp. 2;1
Midway;25/10/2012;Aspilia jolyana;Bombus pauloensis;2
Midway;25/10/2012;Barbacenia flava;Augochloropsis sp. 2;1
Midway;25/10/2012;Lippia hermannioides;Bombus pauloensis;1
Midway;25/10/2012;Cuphea ericoides;Xylocopa sp. 3;1
Midway;25/10/2012;Aspilia jolyana;Bombus pauloensis;1
Midway;25/10/2012;Ouratea floribunda;Cephalotes pusillus;1
Midway;25/10/2012;Ouratea floribunda;Pseudagapostemon sp. 1;1
Midway;25/10/2012;Cuphea ericoides;Megachile sp.;1
Midway;25/10/2012;Lavoisiera campos-portoana;Trigona spinipes;6
Cedro;26/10/2012;Turnera hilaireana;Nitidulidae sp. 2;1
Cedro;26/10/2012;Mimosa sp.;Dialictus (Chloralictus) sp. 1;1
Cedro;26/10/2012;Mimosa sp.;Brachygastra lecheguana;1
Cedro;26/10/2012;Hypenia macrantha;Chlorostilbon lucidus;1
Cedro;26/10/2012;Jacaranda caroba;Ceratina (Crewella) asuncionis;1
Cedro;26/10/2012;Malpigaceae sp.;Xylocopa sp. 5;1
Cedro;26/10/2012;Malpigaceae sp.;Tapinotaspidini sp. 1;1
Cedro;26/10/2012;Rynchospora consanguinea;Apis mellifera;1
Cedro;26/10/2012;Turnera hilaireana;Nitidulidae sp. 2;1
Cedro;26/10/2012;Mimosa sp.;Brachygastra lecheguana;1
Cedro;26/10/2012;Aspilia jolyana;Pseudagapostemon sp. 1;1
Cedro;26/10/2012;Aspilia jolyana;Pseudagapostemon sp. 1;1
Cedro;26/10/2012;Declieuxia fruticosa;Dialictus (Chloralictus) sp. 1;1
Cedro;26/10/2012;Declieuxia fruticosa;Cephalotes pusillus;3
Cedro;26/10/2012;Lessingianthus pycnostachyus;Dialictus (Chloralictus) sp. 1;1
Cedro;26/10/2012;Lessingianthus pycnostachyus;Cephalotes pusillus;1
Cedro;26/10/2012;Paepalanthus bromelioides;Dialictus (Chloralictus) sp. 1;1
Cedro;26/10/2012;Paepalanthus bromelioides;Lepidoptera (microlepidoptera);1
Cedro;26/10/2012;Lessingianthus pycnostachyus;Dialictus (Chloralictus) sp. 1;1
Cedro;26/10/2012;Cuphea ericoides;Coelioxys sp.;1
Cedro;26/10/2012;Byrsonima variabilis;Dialictus (Chloralictus) sp. 1;1
Cedro;26/10/2012;Ouratea floribunda;Augochloropsis sp. 1;1
Cedro;26/10/2012;Cuphea ericoides;Augochlora (Oxystoglossella) sp. 2;2
Cedro;26/10/2012;Lessingianthus pycnostachyus;Ceratina (Crewella) asuncionis;1
Elefante;27/10/2012;Cuphea ericoides;Bombus pauloensis;1
Elefante;27/10/2012;Paepalanthus bromelioides;Alticini sp. 1;6
Elefante;27/10/2012;Paepalanthus bromelioides;Cephalotes pusillus;2
Elefante;27/10/2012;Paepalanthus bromelioides;Camponotus punctulatus;1
Elefante;27/10/2012;Lavoisiera subulata;Xylocopa sp. 1;1
Elefante;27/10/2012;Heteropteris sp.;Centris (Hemisielaa) tarsata;1
Elefante;27/10/2012;Heteropteris sp.;Tapinotaspidini sp. 1;1
Elefante;27/10/2012;Aspilia jolyana;Xylocopa sp. 1;1
Elefante;27/10/2012;Richterago arenaria;Theclinae sp.;1
Elefante;27/10/2012;Lavoisiera subulata;Bombus pauloensis;1
Elefante;27/10/2012;Cuphea ericoides;Dialictus (Chloralictus) sp. 1;1
Elefante;27/10/2012;Aspilia jolyana;Bombus pauloensis;1
Elefante;27/10/2012;Aspilia jolyana;Augochloropsis sp. 1;1
Elefante;27/10/2012;Aspilia jolyana;Paroxystoglossa sp. 1;1
Elefante;27/10/2012;Qualia dichotoma;Unidentified Lepidoptera sp. 4;1
Elefante;27/10/2012;Acritopappus longifolius;Paroxystoglossa sp. 1;1
Elefante;27/10/2012;Eriope macrostachya;Paroxystoglossa sp. 1;1
Elefante;27/10/2012;Eriope macrostachya;Apis mellifera;3
Elefante;27/10/2012;Eriope macrostachya;Augochloropsis sp. 3;1
Elefante;27/10/2012;Ouratea floribunda;Paroxystoglossa sp. 1;1
Elefante;27/10/2012;Cuphea ericoides;Centris (Xanthemisia) lutea;1
Elefante;27/10/2012;Ouratea floribunda;Dialictus (Chloralictus) sp. 1;1
Elefante;27/10/2012;Aspilia jolyana;Paroxystoglossa sp. 1;1
Tinkerbell;28/10/2012;Byrsonima pachyphylla;Unidentified Centris;1
Tinkerbell;28/10/2012;Luxemburgia schwackeana;Euglossa melanotrica;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Megachile sp.;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Apis mellifera;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Megachile cf (Dactylomegachile) sp.;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Unidentified Lepidoptera sp. 2;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Pyrginae sp.;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;2
Tinkerbell;28/10/2012;Lychnofora uniflora;Gaesischia sp. 1;2
Tinkerbell;28/10/2012;Lychnofora uniflora;Dialictus (Chloralictus) sp. 1;2
Tinkerbell;28/10/2012;Lychnofora uniflora;Apis mellifera;1
Tinkerbell;28/10/2012;Lychnofora uniflora;Wasp sp. 1;1
Tinkerbell;28/10/2012;Ouratea floribunda;Paroxystoglossa sp. 1;1
