Plant Family;Plant genus;Plant specie;Pollinator Family;Pollinator genus;Pollinator specie;Interaction frequency;Site
Scrophulariaceae;Verbascum;sinuatum;Curculionidae;Mogulones;sp.;0.01;SB
Scrophulariaceae;Verbascum;sinuatum;Cetoniidae;Oxythyrea;funesta;0.01;SB
Scrophulariaceae;Verbascum;sinuatum;Syrphidae;Paragus;tibialis;0.01;SB
Scrophulariaceae;Verbascum;sinuatum;Syrphidae;Sphaerophoria ;sp. (scripta + rueppellii);0.05;SB
Scrophulariaceae;Verbascum;sinuatum;Calliphoridae;Stomorhina;lunata;0.03;SB
Scrophulariaceae;Verbascum;sinuatum;Syrphidae;Syritta;pipiens;0.01;SB
Caryophyllaceae;Arenaria;grandiflora;Anthomyiidae;Adia;cinerella;0.01;PM
Caryophyllaceae;Arenaria;grandiflora;Bruchidae;Bruchidius;sp.;0.03;PM
Caryophyllaceae;Arenaria;grandiflora;Syrphidae;Eristalis;tenax;0.05;PM
Caryophyllaceae;Arenaria;grandiflora;Chrysididae;Holopyga;fervida;0.03;PM
Caryophyllaceae;Arenaria;grandiflora;Oedemeridae;Oedemera;flavipes;0.01;PM
Caryophyllaceae;Arenaria;grandiflora;Apidae;Osmia;latreillei;0.04;PM
Caryophyllaceae;Arenaria;grandiflora;Syrphidae;Paragus;pecciolii;0.04;PM
Caryophyllaceae;Arenaria;grandiflora;Sarcophagidae;Sarcophaga;nigriventis;0.03;PM
Asteraceae;Bellium;bellidioides;Anthomyiidae;Anthomyia;pluvialis;0.01;PM
Asteraceae;Bellium;bellidioides;Malachiidae;Attalus;sp.;0.01;PM
Asteraceae;Bellium;bellidioides;Braconidae;Chelonus;sp.;0.07;PM
Asteraceae;Bellium;bellidioides;Tachinidae;Cylindromyia;brassicaria;0.04;PM
Asteraceae;Bellium;bellidioides;Tachinidae;Gymnosoma;sp.;0.01;PM
Asteraceae;Bellium;bellidioides;Apidae;Lasioglossum;transitorium planulum;0.01;PM
Asteraceae;Bellium;bellidioides;Sphingidae;Macroglossum;stellatarum;0.01;PM
Asteraceae;Bellium;bellidioides;Oedemeridae;Oedemera;flavipes;0.05;PM
Asteraceae;Bellium;bellidioides;Syrphidae;Paragus;pecciolii;0.02;PM
Asteraceae;Bellium;bellidioides;Syrphidae;Paragus;tibialis;0.07;PM
Asteraceae;Bellium;bellidioides;Lycaenidae;Polyommatus;icarus;0.01;PM
Asteraceae;Bellium;bellidioides;Chloropidae;Polyodaspis;sulcicollis;0.01;PM
Asteraceae;Bellium;bellidioides;Syrphidae;Sphaerophoria;sp.;0.04;PM
Asteraceae;Carlina;corymbosa;Apidae;Andrena;sp.;0.04;PM
Asteraceae;Carlina;corymbosa;Apidae;Apis;mellifera;1.25;PM
Asteraceae;Carlina;corymbosa;Malachiidae;Attalus;sp.;0.01;PM
Asteraceae;Carlina;corymbosa;Curculionidae;Baris;sp.;0.01;PM
Asteraceae;Carlina;corymbosa;Syrphidae;Chrysotoxum;intermedium;0.03;PM
Asteraceae;Carlina;corymbosa;Syrphidae;Eristalinus;taeniops;0.03;PM
Asteraceae;Carlina;corymbosa;Syrphidae;Eristalis;tenax;0.01;PM
Asteraceae;Carlina;corymbosa;Syrphidae;Eupeodes;corollae;0.05;PM
Asteraceae;Carlina;corymbosa;Apidae;Halictus;scabiosae;0.26;PM
Asteraceae;Carlina;corymbosa;Apidae;Lasioglossum ;nitidulum hammi;0.01;PM
Asteraceae;Carlina;corymbosa;Apidae;Megachile;pilidens;0.01;PM
Asteraceae;Carlina;corymbosa;Mordellidae;Mordellistena;sp.;0.03;PM
Asteraceae;Carlina;corymbosa;Lycaenidae;Polyommatus;icarus;0.03;PM
Asteraceae;Carlina;corymbosa;Apidae;Rhodanthidium;septemdentatum;0.03;PM
Asteraceae;Carlina;corymbosa;Calliphoridae;Stomorhina;lunata;0.20;PM
Asteraceae;Carlina;corymbosa;Bombyliidae;Villa;hottentotta;0.03;PM
Asteraceae;Carlina;corymbosa;Bombyliidae;Villa;sp.;0.01;PM
Asteraceae;Carlina;corymbosa;Apidae;Xylocopa;violacea;0.01;PM
Asteraceae;Crepis;triasii;Malachiidae;Attalus;sp.;0.04;PM
Asteraceae;Crepis;triasii;Apidae;Ceratina;cucurbitina;0.01;PM
Asteraceae;Crepis;triasii;Braconidae;Chelonus;sp.;0.01;PM
Asteraceae;Crepis;triasii;Syrphidae;Eristalis;tenax;0.07;PM
Asteraceae;Crepis;triasii;Apidae;Halictus;fulvipes;0.01;PM
Asteraceae;Crepis;triasii;Apidae;Halictus;vestitus;0.07;PM
Asteraceae;Crepis;triasii;Tenebrionidae;Isomira;sp.;0.01;PM
Asteraceae;Crepis;triasii;Apidae;Lasioglossum;nitidulum hammi;0.01;PM
Asteraceae;Crepis;triasii;Oedemeridae;Oedemera;flavipes;0.14;PM
Asteraceae;Crepis;triasii;Apidae;Osmia;latreillei;0.01;PM
Asteraceae;Crepis;triasii;Bombyliidae;Phthiria;pulicaria;0.01;PM
Asteraceae;Crepis;triasii;Bombyliidae;Phthiria;sp.;0.02;PM
Asteraceae;Crepis;triasii;Formicidae;Plagiolepis;pygmaea;0.04;PM
Asteraceae;Crepis;triasii;Apidae;Rhodanthidium;septemdentatum;0.04;PM
Rubiaceae;Galium;balearicum;Braconidae;Chelonus;sp.;0.09;PM
Rubiaceae;Galium;cinereum;Mordellidae;Mordellistena;sp.;0.02;PM
Rubiaceae;Galium;cinereum;Oedemeridae;Oedemera;flavipes;0.14;PM
Cistaceae;Helianthemum;apenninum;Pieridae;Colias;croceus;0.01;PM
Cistaceae;Helianthemum;apenninum;Oedemeridae;Oedemera;flavipes;0.09;PM
Cistaceae;Helianthemum;apenninum;Syrphidae;Sphaerophoria;sp.;0.02;PM
Cistaceae;Helianthemum;apenninum;Formicidae;Temnothorax;specularis;0.02;PM
Labiatae;Rosmarinus;officinalis;Apidae;Apis;mellifera;1.60;PM
Labiatae;Rosmarinus;officinalis;Apidae;Ceratina;cucurbitina;0.11;PM
Labiatae;Rosmarinus;officinalis;Syrphidae;Eristalis;tenax;0.02;PM
Labiatae;Rosmarinus;officinalis;Apidae;Eucera;oraniensis;0.02;PM
Labiatae;Rosmarinus;officinalis;Syrphidae;Helophilus;trivittatus;0.02;PM
Labiatae;Rosmarinus;officinalis;Sphingidae;Macroglossum;stellatarum;0.13;PM
Labiatae;Rosmarinus;officinalis;Formicidae;Plagiolepis;pygmaea;0.02;PM
Labiatae;Rosmarinus;officinalis;Melyridae;Psilotrix;illustris;0.02;PM
Labiatae;Rosmarinus;officinalis;Nymphalidae;Vanessa;cardui;0.07;PM
Asteraceae;Santolina;chamaecyparissus;Dermestidae;Anthrenus;pimpinellae;0.01;PM
Asteraceae;Santolina;chamaecyparissus;Malachiidae;Attalus;sp.;0.01;PM
Asteraceae;Santolina;chamaecyparissus;Syrphidae;Chrysotoxum;intermedium;0.02;PM
Asteraceae;Santolina;chamaecyparissus;Tachinidae;Cylindromyia;brassicaria;0.15;PM
Asteraceae;Santolina;chamaecyparissus;Tachinidae;Dionaea;aurifrons;0.01;PM
Asteraceae;Santolina;chamaecyparissus;Syrphidae;Eristalis;tenax;0.06;PM
Asteraceae;Santolina;chamaecyparissus;Apidae;Lasioglossum ;transitorium planulum;0.07;PM
Asteraceae;Santolina;chamaecyparissus;Apidae;Megachile;pilidens;0.01;PM
Asteraceae;Santolina;chamaecyparissus;Mordellidae;Mordellistena;sp.;0.19;PM
Asteraceae;Santolina;chamaecyparissus;Oedemeridae;Oedemera;flavipes;0.52;PM
Asteraceae;Santolina;chamaecyparissus;Syrphidae;Paragus;tibialis;0.12;PM
Asteraceae;Santolina;chamaecyparissus;Bombyliidae;Phthiria;pulicaria;0.09;PM
Asteraceae;Santolina;chamaecyparissus;Bombyliidae;Phthiria;sp.;0.02;PM
Asteraceae;Santolina;chamaecyparissus;Chloropidae;Polyodaspis;sulcicollis;0.08;PM
Asteraceae;Santolina;chamaecyparissus;Calliphoridae;Stomorhina;lunata;0.09;PM
Crassulaceae;Sedum;dasyphyllum;Apidae;Halictus;vestitus;0.01;PM
Crassulaceae;Sedum;dasyphyllum;Apidae;Hoplitis;leucomelans;0.03;PM
Crassulaceae;Sedum;dasyphyllum;Apidae;Lasioglossum;nitidulum hammi;0.07;PM
Crassulaceae;Sedum;dasyphyllum;Apidae;Lasioglossum ;transitorium planulum;0.21;PM
Crassulaceae;Sedum;dasyphyllum;Oedemeridae;Oedemera;flavipes;0.03;PM
Crassulaceae;Sedum;dasyphyllum;Chloropidae;Oscinella;frit;0.03;PM
Crassulaceae;Sedum;dasyphyllum;Bombyliidae;Phthiria;pulicaria;0.03;PM
Crassulaceae;Sedum;dasyphyllum;Formicidae;Plagiolepis;pygmaea;0.13;PM
Labiatae;Teucrium;asiaticum;Apidae;Amegilla;quadrifasciata;0.40;PM
Labiatae;Teucrium;asiaticum;Apidae;Anthidium;cingulatum;0.01;PM
Labiatae;Teucrium;asiaticum;Apidae;Anthidium;manicatum;0.09;PM
Labiatae;Teucrium;asiaticum;Apidae;Apis;mellifera;0.41;PM
Labiatae;Teucrium;asiaticum;Syrphidae;Chrysotoxum;intermedium;0.01;PM
Labiatae;Teucrium;asiaticum;Apidae;Halictus;vestitus;0.02;PM
Labiatae;Teucrium;asiaticum;Apidae;Lasioglossum;nitidulum hammi;0.09;PM
Labiatae;Teucrium;asiaticum;Sphingidae;Macroglossum;stellatarum;0.39;PM
Labiatae;Teucrium;asiaticum;Apidae;Megachile;pilidens;0.52;PM
Labiatae;Teucrium;asiaticum;Apidae;Protosmia;minutula;0.01;PM
Labiatae;Teucrium;asiaticum;Apidae;Rhodanthidium;septemdentatum;0.04;PM
Labiatae;Teucrium;asiaticum;Bombyliidae;Villa;sp.;0.01;PM
Labiatae;Teucrium;asiaticum;Apidae;Xylocopa;violacea;0.01;PM
 ;;;;;;;
