Species,Red.List,Abundance,Population.trend,Pollen.specialisation,Nest.location,Sociality,Mean.flight.month,Duration.of.activity,Size.mean,Altitude.mean,Forest,Raw.soil,Urban.areas,Meadows,Hedgerows,Wasteland,Habitat.breadth
"Andrena bicolor FABRICIUS, 1775",1,1,2,polylectic,ground,solitary,5.5,6,9.5,1050,1,1,1,1,1,1,6
"Andrena chrysopus PÉREZ, 1903",2,4,2,oligolectic,ground,solitary,5.5,2,9.5,400,0,1,0,0,0,0,1
"Andrena chrysosceles (KIRBY, 1802)",1,2,2,polylectic,ground,solitary,5,3,9.5,400,0,0,1,1,1,1,4
"Andrena dorsata (KIRBY, 1802)",1,2,2,polylectic,ground,solitary,6,5,9.5,800,0,1,0,0,1,1,3
"Andrena marginata FABRICIUS, 1776",4,4,4,oligolectic,ground,solitary,8,3,9.5,800,0,1,0,0,0,1,2
"Andrena ovatula (KIRBY, 1802)",1,2,2,polylectic,ground,solitary,5.5,6,9.5,1050,0,1,1,1,1,1,5
"Andrena ruficrus NYLANDER, 1848",3,4,insufficient data,oligolectic,ground,solitary,4,3,9.5,1050,1,1,0,0,1,0,3
"Andrena symphyti SCHMIEDEKNECHT, 1883",1,5,insufficient data,oligolectic,ground,solitary,5,3,9.5,400,0,1,0,0,1,0,2
"Anthidium byssinum (PANZER, 1798)",3,3,4,oligolectic,ground,solitary,7,3,9.5,1050,0,1,0,1,1,0,3
"Coelioxys inermis (KIRBY, 1802)",1,3,2,cuckoo,host nest,cuckoo,7.5,6,9.5,800,0,0,1,1,1,1,4
"Colletes impunctatus NYLANDER, 1852",3,5,3,polylectic,ground,solitary,7,3,9.5,1050,0,1,0,0,0,0,1
"Epeolus schummeli SCHILLING, 1849",5,6,3,cuckoo,host nest,cuckoo,7,3,9.5,400,0,1,0,0,0,0,1
"Halictus eurygnathus BLÜTHGEN, 1931",1,3,2,polylectic,ground,solitary,6.5,6,9.5,800,0,1,0,0,0,1,2
"Halictus simplex BLÜTHGEN, 1923",1,2,2,polylectic,ground,solitary,6,5,9.5,1050,0,1,0,0,0,1,2
"Lasioglossum euboeense (STRAND, 1909)",4,5,3,polylectic,ground,social,7,7,9.5,800,0,1,0,0,0,1,2
"Lasioglossum nigripes (LEPELETIER, 1841)",4,4,4,polylectic,ground,social,7,7,9.5,1050,1,1,1,1,1,1,6
"Lasioglossum subfasciatum (IMHOFF, 1832)",5,5,4,polylectic,ground,solitary,6.5,8,9.5,800,0,0,0,0,0,1,1
"Lasioglossum zonulum (SMITH, 1848)",1,2,2,polylectic,ground,solitary,7,7,9.5,800,1,1,1,1,1,1,6
"Megachile leachella CURTIS, 1828",3,4,3,polylectic,ground and above,solitary,7,5,9.5,800,0,1,0,0,0,0,1
"Megachile pilidens ALFKEN, 1924",3,4,4,polylectic,ground and above,solitary,7,5,9.5,800,0,1,0,0,0,1,2
"Nomada flavopicta (KIRBY, 1802)",1,3,2,cuckoo,host nest,cuckoo,7.5,6,9.5,400,1,1,1,1,1,1,6
"Nomada hirtipes PÉREZ, 1884",3,4,3,cuckoo,host nest,cuckoo,5,3,9.5,800,0,0,0,1,1,0,2
"Nomada moeschleri ALFKEN, 1913",1,5,2,cuckoo,host nest,cuckoo,6,3,9.5,800,0,0,1,1,1,0,3
"Osmia acuticornis DUFOUR & PERRIS, 1840",4,5,3,polylectic,above,solitary,7,3,9.5,800,0,1,0,0,0,1,2
"Osmia anthocopoides SCHENCK, 1853",3,3,4,oligolectic,above,solitary,6.5,4,9.5,1050,0,1,0,0,0,0,1
"Osmia inermis (ZETTERSTEDT, 1838)",4,5,4,polylectic,above,solitary,6.5,4,9.5,1900,0,1,0,0,0,0,1
"Osmia leaiana (KIRBY, 1802)",3,4,3,oligolectic,above,solitary,6,5,9.5,1050,0,0,0,1,1,1,3
"Osmia niveata (FABRICIUS, 1804)",3,3,4,oligolectic,above,solitary,5.5,4,9.5,800,0,0,1,1,1,1,4
"Osmia uncinata GERSTÄCKER, 1869",3,4,3,polylectic,above,solitary,5.5,6,9.5,1050,1,0,0,0,1,0,2
"Rophites algirus PÉREZ, 1895",3,4,3,oligolectic,ground,solitary,6.5,2,9.5,800,0,1,0,0,0,1,2
"Rophites quinquespinosus SPINOLA, 1808",4,5,3,oligolectic,ground,solitary,7,3,9.5,400,0,1,0,0,1,1,3
"Sphecodes rubicundus VON HAGENS, 1875",3,4,3,cuckoo,host nest,cuckoo,6,3,9.5,400,0,0,0,1,1,0,2
"Sphecodes ruficrus (ERICHSON, 1835)",1,5,2,cuckoo,host nest,cuckoo,5,3,9.5,400,0,1,0,0,0,1,2
"Stelis punctulatissima (KIRBY, 1802)",1,2,2,cuckoo,host nest,cuckoo,7,5,9.5,800,0,1,1,0,1,1,4
"Andrena angustior (KIRBY, 1802)",1,3,2,polylectic,ground,solitary,8,3,10,400,0,1,0,1,1,0,3
"Andrena proxima (KIRBY, 1802)",1,3,2,oligolectic,ground,solitary,5,3,10,1050,0,0,1,1,1,1,4
"Colletes fodiens (GEOFFROY, 1785)",3,4,3,oligolectic,ground,solitary,7.5,2,10,800,0,1,0,0,0,1,2
"Colletes similis SCHENCK, 1853",2,3,3,oligolectic,ground,solitary,7.5,4,10,800,0,1,0,1,0,1,3
"Dufourea paradoxa (MORAWITZ, 1867)",unknown,6,2,polylectic,ground,solitary,7.5,4,10,1900,0,1,0,0,0,0,1
"Eucera cineraria EVERSMANN, 1852",6,7,6,oligolectic,ground,solitary,6,3,10,400,0,1,0,0,0,1,2
"Lasioglossum costulatum (KRIECHBAUMER, 1873)",3,3,4,oligolectic,ground,solitary,6.5,6,10,1050,0,1,0,1,1,1,4
"Nomada braunsiana SCHMIEDEKNECHT, 1882",5,6,insufficient data,cuckoo,host nest,cuckoo,6.5,4,10,1050,0,0,0,1,1,1,3
"Nomada leucophthalma (KIRBY, 1802)",1,2,2,cuckoo,host nest,cuckoo,4.5,4,10,1050,1,1,0,0,1,0,3
"Nomada mutabilis MORAWITZ, 1870",5,6,4,cuckoo,host nest,cuckoo,6,3,10,800,0,1,0,1,0,0,2
"Nomada pleurosticta HERRICH-SCHÄFFER, 1839",4,5,3,cuckoo,host nest,cuckoo,7,3,10,400,0,1,0,1,1,1,4
"Nomada ruficornis (LINNAEUS, 1758)",1,2,2,cuckoo,host nest,cuckoo,4.5,4,10,800,0,0,1,1,1,0,3
"Nomada striata FABRICIUS, 1793",1,2,2,cuckoo,host nest,cuckoo,6,5,10,1050,0,1,0,1,1,0,3
"Nomada symphyti STÖCKHERT, 1930",3,5,3,cuckoo,host nest,cuckoo,5.5,2,10,400,1,1,0,0,1,0,3
"Osmia bicornis (LINNAEUS, 1758)",1,1,2,polylectic,above,solitary,5,5,10,800,1,1,1,1,1,1,6
"Osmia loti MORAWITZ, 1867",unknown,6,2,polylectic,above,solitary,7.5,4,10,1500,0,1,0,0,0,0,1
"Osmia pilicornis SMITH, 1846",3,5,insufficient data,polylectic,above,solitary,4.5,4,10,800,1,0,0,0,1,0,2
"Sphecodes gibbus (LINNAEUS, 1758)",1,1,2,cuckoo,host nest,cuckoo,7,7,10,1500,1,1,1,1,1,1,6
"Sphecodes schenckii VON HAGENS, 1882",5,6,insufficient data,cuckoo,host nest,cuckoo,6.5,6,10,400,0,1,0,0,0,1,2
"Stelis franconica BLÜTHGEN, 1930",6,7,6,cuckoo,host nest,cuckoo,6,3,10,1200,0,1,0,0,0,1,2
"Andrena combinata (CHRIST, 1791)",3,4,3,polylectic,ground,solitary,5.5,2,10.5,800,0,0,0,1,0,1,2
"Andrena hypopolia SCHMIEDEKNECHT, 1883",4,6,4,polylectic,ground,solitary,6.5,4,10.5,400,0,1,0,0,0,0,1
"Andrena lagopus (LATREILLE, 1809)",1,3,2,oligolectic,ground,solitary,5,3,10.5,800,0,1,0,1,1,1,4
"Andrena praecox (SCOPOLI, 1763)",1,3,2,oligolectic,ground,solitary,4,3,10.5,800,0,1,0,0,1,0,2
"Andrena simillima SMITH, 1851",5,6,3,polylectic,ground,solitary,8,3,10.5,1500,0,1,0,0,0,0,1
"Bombus pyrenaeus PÉREZ, 1879",1,4,2,polylectic,ground and above,social,7,5,10.5,2300,1,0,0,0,1,0,2
"Coelioxys lanceolata NYLANDER, 1852",4,6,3,cuckoo,host nest,cuckoo,6.5,2,10.5,950,1,0,0,0,1,0,2
"Coelioxys mandibularis NYLANDER, 1848",1,3,2,cuckoo,host nest,cuckoo,7,3,10.5,1050,0,1,1,1,1,1,5
"Colletes hylaeiformis EVERSMANN, 1852",5,6,insufficient data,oligolectic,ground,solitary,8,3,10.5,400,0,1,0,0,0,1,2
"Halictus rubicundus (CHRIST, 1791)",1,3,2,polylectic,ground,social,6.5,6,10.5,1050,1,1,1,1,1,1,6
"Lasioglossum sexnotatum (KIRBY, 1802)",3,4,4,polylectic,ground,solitary,7,7,10.5,400,0,1,0,0,0,1,2
"Nomada emarginata MORAWITZ, 1877",1,4,2,cuckoo,host nest,cuckoo,7,5,10.5,800,0,0,0,1,1,1,3
"Nomada panzeri LEPELETIER, 1841",1,2,2,cuckoo,host nest,cuckoo,5.5,6,10.5,1050,1,1,1,1,1,1,6
"Osmia aurulenta (PANZER, 1799)",1,3,2,polylectic,above,solitary,5,5,10.5,800,0,1,0,1,1,1,4
"Osmia bicolor (SCHRANK, 1781)",1,3,2,polylectic,above,solitary,5,5,10.5,800,1,1,0,0,1,1,4
"Osmia papaveris (LATREILLE, 1799)",5,5,4,polylectic,ground,solitary,6,3,10.5,800,0,0,0,0,1,1,2
"Sphecodes spinulosus VON HAGENS, 1875",3,4,insufficient data,cuckoo,host nest,cuckoo,6,3,10.5,800,0,0,0,1,1,1,3
"Systropha planidens GIRAUD, 1861",4,4,4,oligolectic,ground,solitary,7,3,10.5,400,0,0,0,0,0,1,1
"Thyreus histrionicus (ILLIGER, 1806)",6,7,6,cuckoo,host nest,cuckoo,7.5,2,10.5,800,0,1,0,0,0,0,1
"Andrena denticulata (KIRBY, 1802)",2,3,3,oligolectic,ground,solitary,7.5,2,11,800,1,1,0,0,1,1,4
"Andrena haemorrhoa (FABRICIUS, 1781)",1,1,2,polylectic,ground,solitary,4.5,4,11,800,1,1,1,1,1,1,6
"Andrena humilis IMHOFF, 1832",2,3,3,oligolectic,ground,solitary,6,3,11,1050,1,1,0,1,1,1,5
"Andrena pandellei PÉREZ, 1895",3,3,4,oligolectic,ground,solitary,5.5,2,11,800,0,0,0,1,1,1,3
"Andrena sericata IMHOFF, 1868",unknown,6,2,oligolectic,ground,solitary,4,3,11,800,0,0,0,0,1,0,1
"Andrena similis SMITH, 1849",3,4,insufficient data,oligolectic,ground,solitary,5,5,11,400,0,1,0,1,1,0,3
"Andrena synadelpha PERKINS, 1914",1,4,2,polylectic,ground,solitary,6,3,11,400,1,1,0,0,1,1,4
"Andrena taraxaci GIRAUD, 1861",unknown,6,2,oligolectic,ground,solitary,4.5,4,11,800,0,1,0,1,1,1,4
"Andrena varians (KIRBY, 1802)",1,3,2,polylectic,ground,solitary,4,3,11,800,1,0,1,1,1,1,5
"Anthophora quadrimaculata (PANZER, 1798)",2,3,3,polylectic,ground,solitary,6.5,4,11,1050,0,1,1,1,0,0,3
"Colletes floralis EVERSMANN, 1852",6,7,6,polylectic,ground,solitary,6.5,4,11,1050,0,1,0,0,0,0,1
"Colletes halophilus VERHOEFF, 1944",unknown,6,2,oligolectic,ground,solitary,9,3,11,0,0,1,0,0,0,0,1
"Colletes succinctus (LINNAEUS, 1758)",2,3,3,oligolectic,ground,solitary,8.5,2,11,400,0,1,0,0,1,0,2
"Nomada armata HERRICH-SCHÄFFER, 1839",3,3,4,cuckoo,host nest,cuckoo,6.5,4,11,800,0,0,0,1,1,0,2
"Nomada bifasciata OLIVIER, 1811",1,2,2,cuckoo,host nest,cuckoo,4.5,4,11,400,1,1,1,1,1,1,6
"Nomada lathburiana (KIRBY, 1802)",1,2,2,cuckoo,host nest,cuckoo,5.5,6,11,1050,0,1,1,1,1,1,5
"Nomada mutica MORAWITZ, 1872",4,5,3,cuckoo,host nest,cuckoo,5.5,4,11,800,1,1,0,0,1,1,4
"Nomada stigma FABRICIUS, 1804",1,2,2,cuckoo,host nest,cuckoo,6,5,11,800,0,0,0,1,1,0,2
"Nomada villosa THOMSON, 1870",3,4,insufficient data,cuckoo,host nest,cuckoo,5.5,4,11,800,0,0,1,1,1,0,3
"Osmia brevicornis (FABRICIUS, 1798)",3,4,insufficient data,oligolectic,above,solitary,5.5,4,11,800,0,0,1,0,1,1,3
"Osmia cerinthidis MORAWITZ, 1876",5,6,3,oligolectic,above,solitary,5.5,2,11,800,0,0,0,0,1,1,2
"Osmia maritima FRIESE, 1885",unknown,6,2,polylectic,ground,solitary,6,3,11,0,0,1,0,0,0,0,1
"Osmia tridentata DUFOUR & PERRIS, 1840",3,4,3,oligolectic,above,solitary,7,3,11,400,0,0,0,0,1,1,2
"Osmia villosa (SCHENCK, 1853)",4,5,3,oligolectic,above,solitary,6,3,11,1500,0,1,0,0,0,0,1
"Panurgus banksianus (KIRBY, 1802)",1,3,2,oligolectic,ground,solitary,7,3,11,1050,1,1,0,1,1,1,5
"Ammobatoides abdominalis (EVERSMANN, 1852)",6,7,6,cuckoo,host nest,cuckoo,7,3,11.5,400,0,1,0,1,0,1,3
"Andrena barbilabris (KIRBY, 1802)",2,3,3,polylectic,ground,solitary,5,5,11.5,400,0,1,0,0,1,1,3
"Andrena florea FABRICIUS, 1793",1,3,2,oligolectic,ground,solitary,6.5,4,11.5,800,0,0,1,0,1,1,3
"Andrena fucata SMITH, 1847",1,3,2,polylectic,ground,solitary,6,3,11.5,1050,1,0,0,0,0,0,1
"Andrena mitis SCHMIEDEKNECHT, 1883",2,3,3,oligolectic,ground,solitary,4.5,4,11.5,400,1,1,0,1,0,0,3
"Andrena nigriceps (KIRBY, 1802)",4,5,3,polylectic,ground,solitary,7,3,11.5,800,0,1,0,0,0,1,2
"Andrena schencki MORAWITZ, 1866",4,6,4,polylectic,ground,solitary,6,3,11.5,400,0,0,0,1,0,1,2
"Andrena wilkella (KIRBY, 1802)",1,3,2,oligolectic,ground,solitary,5,5,11.5,1050,0,1,0,1,1,1,4
"Anthidium manicatum (LINNAEUS, 1758)",1,2,2,polylectic,above,solitary,7,3,11.5,800,0,1,1,0,1,0,3
"Anthophora furcata (PANZER, 1798)",2,3,3,oligolectic,above,solitary,7,3,11.5,800,1,0,1,0,1,0,3
"Bombus jonellus (KIRBY, 1802)",3,4,3,polylectic,ground and above,social,6,7,11.5,1050,1,1,0,0,1,1,4
"Bombus pratorum (LINNAEUS, 1761)",1,1,2,polylectic,above,social,5,5,11.5,1500,1,0,1,1,1,1,5
"Coelioxys aurolimbata FÖRSTER, 1853",2,3,3,cuckoo,host nest,cuckoo,7,3,11.5,400,0,1,0,1,1,1,4
"Coelioxys conica (LINNAEUS, 1758)",2,3,3,cuckoo,host nest,cuckoo,6.5,4,11.5,1050,0,0,0,1,1,0,2
"Coelioxys elongata LEPELETIER, 1841",1,4,insufficient data,cuckoo,host nest,cuckoo,7,5,11.5,800,0,1,0,1,1,1,4
"Colletes hederae SCHMIDT & WESTRICH, 1993",1,3,insufficient data,oligolectic,ground,solitary,9,3,11.5,400,1,1,1,1,1,1,6
"Eucera macroglossa ILLIGER, 1806",4,5,3,oligolectic,ground,solitary,7,3,11.5,800,0,1,0,0,0,1,2
"Lasioglossum majus (NYLANDER, 1852)",3,4,4,polylectic,ground,solitary,6.5,6,11.5,800,1,0,0,1,1,1,4
"Megachile analis NYLANDER, 1852",4,5,3,polylectic,ground,solitary,7,5,11.5,1500,0,1,0,0,0,0,1
"Megachile melanopyga COSTA, 1863",5,6,4,polylectic,above,solitary,7.5,6,11.5,800,0,1,0,1,0,1,3
"Megachile versicolor SMITH, 1844",1,2,2,polylectic,above,solitary,7,5,11.5,800,1,1,1,1,1,1,6
"Melitta leporina (PANZER, 1799)",1,3,2,oligolectic,ground,solitary,7.5,4,11.5,400,0,0,1,1,0,1,3
"Melitta nigricans ALFKEN, 1905",1,3,2,oligolectic,ground,solitary,7.5,2,11.5,400,0,0,0,0,1,0,1
"Melitta tricincta KIRBY, 1802",2,3,2,oligolectic,ground,solitary,8.5,2,11.5,800,0,1,0,1,0,1,3
"Nomada fulvicornis FABRICIUS, 1793",1,2,2,cuckoo,host nest,cuckoo,5.5,6,11.5,800,1,1,1,1,1,1,6
"Nomada goodeniana (KIRBY, 1802)",1,1,2,cuckoo,host nest,cuckoo,5.5,3,11.5,800,1,1,1,1,1,1,6
"Nomada marshamella (KIRBY, 1802)",1,1,2,cuckoo,host nest,cuckoo,5.5,4,11.5,800,1,1,1,1,1,1,6
"Nomada signata JURINE, 1807",1,4,2,cuckoo,host nest,cuckoo,4.5,4,11.5,800,1,0,1,0,1,0,3
"Nomada succincta PANZER, 1798",1,2,2,cuckoo,host nest,cuckoo,4.5,4,11.5,800,1,1,1,1,1,1,6
"Osmia tuberculata NYLANDER, 1848",3,4,3,polylectic,above,solitary,6.5,2,11.5,1900,1,0,0,1,1,0,3
"Andrena flavipes PANZER, 1799",1,2,2,polylectic,ground,solitary,6,7,12,800,1,1,1,1,1,1,6
"Andrena tscheki MORAWITZ, 1872",3,4,3,oligolectic,ground,solitary,4,3,12,400,0,0,0,1,0,1,2
"Bombus humilis ILLIGER, 1806",3,3,4,polylectic,above,social,7,7,12,1050,0,0,0,1,1,1,3
"Bombus pascuorum (SCOPOLI, 1763)",1,1,2,polylectic,ground and above,social,7,7,12,1050,0,0,1,1,1,1,4
"Bombus soroeensis (FABRICIUS, 1776)",2,3,3,polylectic,ground,social,6.5,6,12,1050,1,1,0,1,1,1,5
"Coelioxys alata FÖRSTER, 1853",5,6,insufficient data,cuckoo,host nest,cuckoo,7,3,12,400,1,0,0,0,1,0,2
"Coelioxys rufescens LEPELETIER & SERVILLE, 1825",2,4,3,cuckoo,host nest,cuckoo,7.5,4,12,1050,0,0,0,0,1,0,1
"Lasioglossum xanthopus (KIRBY, 1802)",1,3,2,polylectic,ground,solitary,6.5,8,12,800,0,0,0,1,1,1,3
"Megachile lapponica THOMSON, 1872",1,3,2,oligolectic,above,solitary,7,3,12,800,1,0,1,0,1,0,3
"Megachile pyrenaea PÉREZ, 1890",3,5,3,polylectic,ground and above,solitary,8,3,12,800,0,1,0,0,0,1,2
"Nomada flava PANZER, 1798",1,1,2,cuckoo,host nest,cuckoo,4.5,4,12,800,1,1,1,1,1,1,6
"Nomada nobilis HERRICH-SCHÄFFER, 1839",6,7,6,cuckoo,host nest,cuckoo,5.5,2,12,800,0,0,0,0,0,1,1
"Nomada sexfasciata PANZER, 1799",1,3,2,cuckoo,host nest,cuckoo,5,3,12,800,0,0,0,1,1,1,3
"Osmia adunca (PANZER, 1798)",1,2,2,oligolectic,above,solitary,7.5,4,12,800,0,1,0,0,0,1,2
"Osmia lepeletieri PÉREZ, 1879",6,7,6,oligolectic,above,solitary,7,3,12,1050,0,1,0,0,0,0,1
"Andrena bucephala STEPHENS, 1846",3,4,3,polylectic,ground,solitary,4.5,2,12.5,800,0,0,0,1,1,0,2
"Andrena clarkella (KIRBY, 1802)",1,3,2,oligolectic,ground,solitary,4,3,12.5,1050,1,0,0,0,1,0,2
"Andrena ferox SMITH, 1847",4,5,3,polylectic,ground,solitary,5.5,2,12.5,800,1,0,0,0,1,0,2
"Andrena lapponica ZETTERSTEDT, 1838",2,3,3,oligolectic,ground,solitary,5.5,4,12.5,1650,1,1,0,0,1,0,3
"Andrena rosae PANZER, 1801",3,4,4,polylectic,ground,solitary,5.5,5,12.5,800,0,0,0,1,1,1,3
"Bombus lucorum (LINNAEUS, 1761)",1,1,2,polylectic,ground,social,5.5,6,12.5,1050,1,1,1,1,1,1,6
"Bombus monticola SMITH, 1849",1,4,2,polylectic,ground,social,6,7,12.5,1900,1,1,0,0,1,0,3
"Bombus ruderarius (MÜLLER, 1776)",3,4,3,polylectic,above,social,6.5,6,12.5,1500,0,0,0,1,0,0,1
"Bombus sylvarum (LINNAEUS, 1761)",2,3,3,polylectic,ground and above,social,7,7,12.5,1050,0,1,1,1,1,1,5
"Colletes collaris DOURS, 1872",unknown,6,2,polylectic,ground,solitary,9,3,12.5,400,0,1,0,0,0,1,2
"Megachile genalis MORAWITZ, 1880",4,5,3,oligolectic,above,solitary,7.5,4,12.5,800,0,1,0,0,1,1,3
"Melitta haemorrhoidalis (FABRICIUS, 1775)",1,2,2,oligolectic,ground,solitary,7.5,4,12.5,1050,0,0,1,1,1,1,4
"Nomada melathoracica IMHOFF, 1834",4,5,3,cuckoo,host nest,cuckoo,5.5,4,12.5,800,0,1,1,1,1,0,4
"Nomada rostrata HERRICH-SCHÄFFER, 1839",5,6,3,cuckoo,host nest,cuckoo,5.5,2,12.5,400,0,1,0,0,0,0,1
"Sphecodes albilabris (FABRICIUS, 1793)",1,3,2,cuckoo,host nest,cuckoo,6.5,8,12.5,800,0,1,0,0,0,1,2
"Andrena chrysopyga SCHENCK, 1853",4,5,3,polylectic,ground,solitary,5,3,13,800,0,1,0,1,0,0,2
"Andrena decipiens SCHENCK, 1861",4,5,4,polylectic,ground,solitary,7.5,4,13,400,0,1,0,0,0,0,1
"Andrena fulva (MÜLLER, 1766)",1,2,2,polylectic,ground,solitary,4,3,13,800,1,0,1,0,1,0,3
"Andrena gravida IMHOFF, 1832",1,1,2,polylectic,ground,solitary,4.5,4,13,800,1,1,1,1,1,1,6
"Andrena nuptialis PÉREZ, 1902",5,6,3,polylectic,ground,solitary,6,4,13,900,0,0,0,0,1,1,2
"Andrena nycthemera IMHOFF, 1868",3,4,3,oligolectic,ground,solitary,4.5,4,13,400,0,1,0,0,0,0,1
"Andrena polita SMITH, 1847",4,4,4,oligolectic,ground,solitary,7,5,13,400,0,1,0,1,1,1,4
"Andrena rogenhoferi MORAWITZ, 1872",unknown,6,2,polylectic,ground,solitary,6.5,4,13,1500,0,1,0,1,0,0,2
"Andrena scotica PERKINS, 1916",1,3,2,polylectic,ground,solitary,5,3,13,800,0,1,1,1,1,0,4
"Bombus hypnorum (LINNAEUS, 1758)",1,1,2,polylectic,above,social,5.5,6,13,1050,1,0,1,1,1,1,5
"Bombus muscorum (LINNAEUS, 1758)",4,4,4,polylectic,above,social,7,5,13,800,0,1,0,1,1,0,3
"Bombus pomorum (PANZER, 1805)",4,4,4,polylectic,ground,social,6,5,13,800,0,0,0,1,1,0,2
"Bombus veteranus (FABRICIUS, 1793)",3,4,3,polylectic,above,social,6.5,6,13,800,0,0,0,1,1,0,2
"Eucera dentata GERMAR, 1839",4,5,3,oligolectic,ground,solitary,7.5,4,13,800,0,1,0,0,0,1,2
"Melecta albifrons (FORSTER, 1771)",1,1,2,cuckoo,host nest,cuckoo,5,5,13,1500,0,1,1,0,0,0,2
"Melecta luctuosa (SCOPOLI, 1770)",3,4,3,cuckoo,host nest,cuckoo,5.5,4,13,800,0,1,0,0,1,0,2
"Osmia nigriventris (ZETTERSTEDT, 1838)",5,6,4,polylectic,above,solitary,5.5,4,13,1650,1,0,0,0,1,0,2
"Andrena apicata SMITH, 1847",3,3,insufficient data,oligolectic,ground,solitary,3.5,4,13.5,800,1,1,0,0,1,0,3
"Andrena bimaculata (KIRBY, 1802)",2,3,3,polylectic,ground,solitary,5.5,6,13.5,400,0,1,0,0,0,0,1
"Andrena curvungula THOMSON, 1870",3,3,4,oligolectic,ground,solitary,6,3,13.5,800,0,0,0,1,1,1,3
"Andrena labialis (KIRBY, 1802)",2,3,3,oligolectic,ground,solitary,6,3,13.5,1050,0,0,0,1,1,0,2
"Andrena lathyri ALFKEN, 1899",1,2,2,oligolectic,ground,solitary,5.5,4,13.5,800,0,0,1,1,1,0,3
"Anthophora plagiata (ILLIGER, 1806)",4,6,4,polylectic,ground,solitary,5.5,4,13.5,1050,0,1,0,0,0,0,1
"Bombus hortorum (LINNAEUS, 1761)",1,2,2,polylectic,ground and above,social,6,5,13.5,1050,0,0,1,1,1,1,4
"Bombus semenoviellus SKORIKOV, 1910",1,5,insufficient data,polylectic,ground,social,6,7,13.5,400,1,1,0,1,0,1,4
"Colletes cunicularius (LINNAEUS, 1761)",1,3,2,polylectic,ground,solitary,3.5,2,13.5,400,0,1,0,0,0,0,1
"Colletes nasutus SMITH, 1853",4,5,3,oligolectic,ground,solitary,7,3,13.5,400,0,1,0,0,0,0,1
"Halictus scabiosae (ROSSI, 1790)",1,3,2,polylectic,ground,social,6.5,6,13.5,800,0,1,0,0,1,1,3
"Lithurgus chrysurus FONSCOLOMBE, 1834",5,6,insufficient data,oligolectic,above,solitary,7,3,13.5,400,1,1,0,0,0,0,2
"Megachile willughbiella (KIRBY, 1802)",1,2,2,polylectic,ground and above,solitary,7,5,13.5,1050,0,0,1,1,1,0,3
"Melitta dimidiata MORAWITZ, 1876",5,6,3,oligolectic,ground,solitary,5.5,4,13.5,800,0,0,0,1,0,1,2
"Osmia cornuta (LATREILLE, 1805)",1,3,1,polylectic,above,solitary,4,5,13.5,800,0,1,1,0,1,0,3
"Osmia mustelina GERSTÄCKER, 1869",4,5,3,polylectic,above,solitary,5.5,6,13.5,1050,0,1,0,0,0,1,2
"Andrena agilissima (SCOPOLI, 1770)",3,4,3,oligolectic,ground,solitary,5.5,2,14,800,0,1,1,1,1,0,4
"Andrena cineraria (LINNAEUS, 1758)",1,2,2,polylectic,ground,solitary,4,3,14,1050,0,1,1,1,1,1,5
"Andrena nigroaenea (KIRBY, 1802)",1,3,2,polylectic,ground,solitary,5,5,14,1050,0,1,1,1,1,0,4
"Andrena pilipes FABRICIUS, 1781",3,3,4,polylectic,ground,solitary,6.5,5,14,800,0,1,0,1,0,1,3
"Andrena suerinensis FRIESE, 1884",4,5,3,oligolectic,ground,solitary,6,3,14,400,0,1,0,0,0,1,2
"Andrena tibialis (KIRBY, 1802)",1,3,2,polylectic,ground,solitary,4.5,4,14,800,0,1,1,1,1,1,5
"Andrena vaga PANZER, 1799",1,3,2,oligolectic,ground,solitary,4.5,4,14,800,0,1,0,0,0,0,1
"Bombus lapidarius (LINNAEUS, 1758)",1,1,2,polylectic,above,social,6.5,8,14,1050,0,0,1,1,1,1,4
"Bombus mesomelas GERSTÄCKER, 1869",6,7,6,polylectic,ground,social,7.5,6,14,1900,0,1,0,0,0,0,1
"Bombus mucidus GERSTÄCKER, 1869",1,4,2,polylectic,ground,social,7.5,6,14,1900,0,0,0,0,1,0,1
"Bombus terrestris (LINNAEUS, 1758)",1,1,2,polylectic,ground,social,5.5,8,14,800,0,0,1,1,1,1,4
"Dasypoda hirtipes (FABRICIUS, 1793)",2,3,3,oligolectic,ground,solitary,7.5,4,14,800,0,1,0,0,1,1,3
"Eucera longicornis (LINNAEUS, 1758)",2,3,3,oligolectic,ground,solitary,6,3,14,400,0,0,0,1,0,1,2
"Eucera nigrescens PÉREZ, 1879",1,3,2,oligolectic,ground,solitary,5,3,14,400,0,0,0,1,1,0,2
"Megachile ericetorum LEPELETIER, 1841",1,3,2,oligolectic,above,solitary,7,3,14,800,0,1,1,1,1,1,5
"Megachile ligniseca (KIRBY, 1802)",4,5,3,polylectic,above,solitary,7.5,4,14,1050,1,0,0,0,1,0,2
"Melitturga clavicornis (LATREILLE, 1806)",6,7,6,oligolectic,ground,solitary,7,3,14,800,0,1,0,1,1,1,4
"Anthophora aestivalis (PANZER, 1801)",3,4,3,polylectic,ground,solitary,5.5,4,14.5,1050,0,1,0,0,1,1,3
"Anthophora plumipes (PALLAS, 1772)",1,1,2,polylectic,ground,solitary,4.5,4,14.5,800,1,1,1,1,1,1,6
"Anthophora retusa (LINNAEUS, 1758)",2,3,4,polylectic,ground,solitary,5.5,4,14.5,800,0,1,0,1,1,0,3
